title,price,link
32 in 1 Precision Screwdriver Set Magnetic Multi Bit Tool Kit for Mobile Phone Laptop Watch Repair Hand Tools Kit,Rs. 710,https://www.daraz.pk/products/1-32-i1951268943.html
"5 Yard 9mm Crystal Rhinestone Chain + B7000 Glue 50ml Combo | DIY Crafts, Garment Trim, Jewelry & Mobile Repair | Tawakkal Crafts",Rs. 690,https://www.daraz.pk/products/5-9-b7000-50-diy-i879745480.html
5 Ft Original Soldering Wire  Rosin core solder wire High Quality soldering wire,Rs. 129,https://www.daraz.pk/products/5-ft-original-soldering-wire-rosin-core-solder-wire-high-quality-soldering-wire-i394125452.html
Soldering Iron Pump (Desoldering Pump) Sakhkhar - Solder Remover,Rs. 290,https://www.daraz.pk/products/soldering-iron-pump-desoldering-pump-sakhkhar-solder-remover-i394119694.html
High Quality 25ml HWY-800 Soldering Flux for Stainless Steel Soldering Liquid Flux Welding Solder,Rs. 260,https://www.daraz.pk/products/high-quality-25ml-hwy-800-soldering-flux-for-stainless-steel-soldering-liquid-flux-welding-solder-i428954652.html
1 Pcs Stainless Steel Flux Soldering Stainless Steel Liquid Solder Soldering Liquid Solution - Liquid Soldering FluxL - Liquid Paste ( Spot welding Not Required For Lithium cell connection ) (6ml),Rs. 249,https://www.daraz.pk/products/1-pcs-stainless-steel-flux-soldering-stainless-steel-liquid-solder-soldering-liquid-solution-liquid-soldering-fluxl-liquid-paste-spot-welding-not-required-for-lithium-cell-connection-6ml-i413267040.html
"Best Quality Rosin Soldering Paste YX-20 80gm ,Broza ,10cc Flux type RMA-223 ,White Flux Solid Solder Paste Welding Fluxes Repair Soldering Welding Fluxes Repair by Electrica",Rs. 328,https://www.daraz.pk/products/best-quality-rosin-soldering-paste-yx-20-80gm-broza-10cc-flux-type-rma-223-white-flux-solid-solder-paste-welding-fluxes-repair-soldering-welding-fluxes-repair-by-electrica-i265150550.html
OPPO Reno13 5G | 12GB RAM + 256GB ROM - Refurbished (Open Box) - 1 Year Official Repair Warranty,"Rs. 99,999",https://www.daraz.pk/products/13-5-12-256-1-i697916197.html
Heat gun 1800 watt imported quality for paint removal welding soldering shrink wrap packing daal packing sugar packing mobile repairing,"Rs. 2,650",https://www.daraz.pk/products/1800-i454335095.html
"InstaOrder Soldering Iron Stand Holder with Metal Support Station – Bracket Base Welding Tool for Circuit Board Designing, Mobile Repairing & Electric DIY",Rs. 399,https://www.daraz.pk/products/instaorder-soldering-iron-stand-holder-with-metal-support-station-bracket-base-welding-tool-for-circuit-board-designing-mobile-repairing-electric-diy-i351380837.html
ZT-102L Mini Auto Inductance 60 Henrys H Measurement Digital Multimeter,"Rs. 4,550",https://www.daraz.pk/products/zt-102l-60-h-i924660059.html
"10X Handheld Magnifier Glass + 60/70/80/90/100MM Magnifying Glass with Red Wood Handle + For Jewelers, School, Office, Doctors, PCB Circuit Repairing, Mobile Repairing",Rs. 599,https://www.daraz.pk/products/10x-handheld-magnifier-glass-60708090100mm-magnifying-glass-with-red-wood-handle-for-jewelers-school-office-doctors-pcb-circuit-repairing-mobile-repairing-i431484770.html
KADA KD-887Ds Hot Air Gun Rework Station with LED Display Adjustable Temperature Portable Heat Gun for Mobile & PCB Repair by Electrica,"Rs. 7,399",https://www.daraz.pk/products/kada-kd-887ds-hot-air-gun-rework-station-with-led-display-adjustable-temperature-portable-heat-gun-for-mobile-pcb-repair-by-electrica-i161442303.html
Tin Lead Line Soldering 0.6Mm Wire 25G/50G Made in Pakistan (Ranga) Solder Wire Reel,Rs. 141,https://www.daraz.pk/products/tin-lead-line-soldering-06mm-wire-25g50g-made-in-pakistan-ranga-solder-wire-reel-i406556364.html
QS Mobile Speaker Anti Dust Jali Honey Comb Pattern Pack of 10,Rs. 149,https://www.daraz.pk/products/qs-10-i930937064.html
32-in-1 Multi-Function Screwdriver Tool Box Set – Complete Tools Set for Mobile Phone & Electronic Repair,Rs. 499,https://www.daraz.pk/products/1-32-i940157222.html
"31 In 1 Precision Handle Screwdriver Set Mobile Phone, watches, glasses Repair Kit Multifunctional",Rs. 333,https://www.daraz.pk/products/31-in-1-precision-handle-screwdriver-set-mobile-phone-watches-glasses-repair-kit-multifunctional-i272632707.html
Samsung S10 Plus Original LED Display with Touchscreen Replacement Kit - High-Quality Mobile Repair Part,"Rs. 24,999",https://www.daraz.pk/products/10-i888362459.html
TE 801 Welding Magnifying Glass 2 LED Auxiliary Clip Magnifier 3 In 1 Hand Soldering Solder Iron Stand Holder Station Soldering Helping Hand Soldering Stand Mobile Repairing Accessories,"Rs. 1,599",https://www.daraz.pk/products/te-801-2-led-1-3-i208464985.html
Koocu 5 in 1 Screwdriver Tool kit Set for All Mobiles Repair watch Multicolor,Rs. 480,https://www.daraz.pk/products/1-5-i429183550.html
"24 in 1 Screwdriver Set Magnetic Mini Precision Repair Tool Kit – Small Screwdriver Set  & Mobile Screwdriver Set for Mobile Repair, , , Computer, Camera – Multi-Bit Mobile Screwdriver  Kit for",Rs. 820,https://www.daraz.pk/products/24-1-i948563603.html
TITAN TN 1502DD DC POWER SUPPLY  Current / Voltage Adjustable Power Supply for mobile repairing tools,"Rs. 4,970",https://www.daraz.pk/products/titan-tn-1502dd-dc-power-supply-current-voltage-adjustable-power-supply-for-mobile-repairing-tools-i497867850.html
KOOCU8899/JYD515 5 in 1 Precision Torx Screwdriver Cellphone Watch Repair Mixed Set Tool Kit,Rs. 450,https://www.daraz.pk/products/koocu8899jyd515-5-in-1-precision-torx-screwdriver-cellphone-watch-repair-mixed-set-tool-kit-i390199175.html
"New 32-in-1 Precision Magnetic Screwdriver Set for Mobile, Laptop, Watch, Camera, PC Repair | Mini Tool Kit with Magnetic Bits",Rs. 498,https://www.daraz.pk/products/1-32-i831404361.html
Magnetic Screwdriver 31 in 1 Screwdriver Set Mobile Repair Tool Kit; Watches Repair Tool Kit; Glasses Repair Tool Kit; Best Quality Screwdriver Tool Kit | Multi-Functional Pocket Screwdriver Set 30 Magnetic Bits and Handle,Rs. 399,https://www.daraz.pk/products/1-31-30-i627925921.html
"T7000 Zhanlida Best Quality Super Strong Adhesive Glue For Mobile Phone Repairing, Tablet, LCD, Back Panel Fixing, Jewelry, Toy, Stones, Glass, Wood, Flower, Leather, PVC, Handicrafts, Plastic, Metal, T 7000, 50ML",Rs. 400,https://www.daraz.pk/products/t7000-lcd-pvc-t-7000-50-i201612734.html
Mobile Phone Repair Fixture Pcbs Bracket Universal Board pcbs Holder for Repair Tool Platform Fixed Adjustable PCBs Holder Mobile board holder for Repairing jig Stand,Rs. 329,https://www.daraz.pk/products/-i389751827.html
MECHANIC ORI Mini Motherboard Fixture – Compact PCB Holder for Mobile Repair,"Rs. 3,600",https://www.daraz.pk/products/-i933337522.html
"B6000 or B7000 Glue Super Strong Multi-Purpose Adhesive Glue (50ml / 110ml) – Mobile, Jewelry, Craft Repair",Rs. 210,https://www.daraz.pk/products/b6000-b7000-50ml-110ml-i945788107.html
Inductance Detector PCB Electromagnetic Fault Detection Tool for Mobile Phone Motherboard Repair Engineers Use MECHANIC DT-001,Rs. 890,https://www.daraz.pk/products/001-i928767825.html
Mechanic 998 Touch Separator Machine  Mobile Phone Disassemble Build-in Pump Vacuum LCD Touch Screen Repair,"Rs. 11,200",https://www.daraz.pk/products/998-lcd-i896564720.html
iPhone X Display in- cell Panel Black – SUNLONG |  Colors + HDR Full LCD Screen | Premium Quality Front Mobile Display | High Brightness Touch LCD | Full Assembly Replacement Panel for iPhone X | OEM Fit | Best for Mobile Repair Technicians,"Rs. 4,920",https://www.daraz.pk/products/oem-i879862653.html
"B6000 E6000 Multi-Purpose Adhesive Glue 110 g for Crafts, Mobile Repair, Jewelry, Fabric & DIY",Rs. 199,https://www.daraz.pk/products/b6000-e6000-multi-purpose-adhesive-glue-110-g-for-crafts-mobile-repair-jewelry-fabric-diy-i655998250.html
MECHANIC UV 559 SOLDERING FLUX PASTE for Mobile Repairing,Rs. 600,https://www.daraz.pk/products/uv-559-i316273274.html
1/2/3/5 Pcs Electronic Spices 1.5mm Philip Size Precision Screwdriver with Rotatable Head | Mobile Phone Repair Tool | Laptop Repair Tool | Professional Opening Tool for All Smartphones | Durable Non-Slip Grip Screw Driver – Rafiq Electronics,Rs. 169,https://www.daraz.pk/products/1235-pcs-electronic-spices-15mm-philip-size-precision-screwdriver-with-rotatable-head-mobile-phone-repair-tool-laptop-repair-tool-professional-opening-tool-for-all-smartphones-durable-non-slip-grip-screw-driver-rafiq-electronics-i939384969.html
JZQ-588B Metal Wire Brush Soldering Iron Tip Cleaner with Stand Holder Set BGA Repairing Tool by Electrica,Rs. 422,https://www.daraz.pk/products/jzq-588b-metal-wire-brush-soldering-iron-tip-cleaner-with-stand-holder-set-bga-repairing-tool-by-electrica-i429498194.html
Infinix Hot 40 Mobile Sim Tray - Blue Sim Slot Repair Part,Rs. 549,https://www.daraz.pk/products/infinix-hot-40-mobile-sim-tray-blue-sim-slot-repair-part-i943393272.html
3.5X12 Helping Hand Clip LED Light Magnifier Soldering Iron Stand,"Rs. 1,370",https://www.daraz.pk/products/35x12-i429796201.html
Power Charge For Nintendo GameBoy Advance SP (GBA SP)  / Nintendo console / Game Boy Advance,"Rs. 1,099",https://www.daraz.pk/products/sp-gba-sp-i430766794.html
"Flying Eagle Blade Safety Razor for Mobile,Tab LCD Repair 5 Pcs",Rs. 121,https://www.daraz.pk/products/flying-eagle-blade-safety-razor-for-mobiletab-lcd-repair-5-pcs-i388926848.html
100% Original AIWA 40 Pcs Original Toolkit Combination Socket Wrench Tool Set Matric Ratchet Wrench Screw Driver Set Mobile Repairing Toolkit Car Bike Bicycle Repairing Hand Tool Goti Set Screwdriver Set Socket Set Ratchet Set AIWA Toolkit with Box,"Rs. 1,299",https://www.daraz.pk/products/100-aiwa-40-aiwa-i717532396.html
(1 Pc) Premium Quality 60W Soldering Iron Heating Element - Soldering Iron Replacement Core Heating Element AC 220V 60W,Rs. 169,https://www.daraz.pk/products/1-pc-premium-quality-60w-soldering-iron-heating-element-soldering-iron-replacement-core-heating-element-ac-220v-60w-i411425661.html
"4 Pcs Pack Of Spiral Silicone Cable Protectors Charging Cable Protector Prevent Cable Break For Android, Headphones, Earphones, Pods, Mouse Flexible Cable Wire Organizer Sleeve Repair Pet Bite Cable Wire Identification Cover Type C Cord Adapter Wrap",Rs. 99,https://www.daraz.pk/products/4-c-i690740767.html
Pixel 3 Dead Mother Board For Ic Repairing,"Rs. 1,500",https://www.daraz.pk/products/3-ic-i485013475.html
"MECHANIC 1.5mm R300 Solder Wick / 1.5M Copper Braid Solder Remover Wire for PCB Repair, BGA Rework & Flux Cleaning (1515) by Electrica",Rs. 422,https://www.daraz.pk/products/mechanic-15mm-r300-solder-wick-15m-copper-braid-solder-remover-wire-for-pcb-repair-bga-rework-flux-cleaning-1515-by-electrica-i471617238.html
Mechanic M60 40g 0.4mm for Electronic Soldering Iron Welding High Purity No-clean Rosin Solder Wire by Electrica,Rs. 457,https://www.daraz.pk/products/mechanic-m60-40g-04mm-for-electronic-soldering-iron-welding-high-purity-no-clean-rosin-solder-wire-by-electrica-i514975585.html
MECHANIC Solder Paste XG-50 BGA Paste 183 degree,Rs. 649,https://www.daraz.pk/products/xg-50-bga-183-i397923418.html
"Soldering Iron Kit in Variation Soldering Iron(Kavia) ,Soldering Wire ,Soldering Iron Stand ,Desoldering Pump ,Repairing matt ,Magnifier Glass ,Yellow Soldering bit cleaning Sponge ,Soldering Iron Paste ,Broza (White Rosin)","Rs. 3,450",https://www.daraz.pk/products/-i206292985.html
MECHANIC SU7 Green UV Curing Solder Mask Paste for PCB Protection & Repair,Rs. 498,https://www.daraz.pk/products/7-i924660846.html
Oppo Reno 5 Front Camera (Original Replacement Part),"Rs. 1,399",https://www.daraz.pk/products/5-i840012107.html
Huawei P20 Pro - Original Camera Glass Repair Replacement Rear Lens Huawei P20 Pro,Rs. 699,https://www.daraz.pk/products/huawei-p20-pro-original-camera-glass-repair-replacement-rear-lens-huawei-p20-pro-i345849788.html
Thermoelectric Cooler Peltier Module Tec1-12706 12vdc 6a Cooling Refrigeration Plate 40x40x3.2mm For Liquid Water Cooler Heat Sink System,Rs. 849,https://www.daraz.pk/products/tec1-12706-12vdc-6a-40x40x32-i472785039.html
KOOCU K01 Precision Electric Screwdriver Set 13-In-1 Portable LED Kit USB Cordless Professional Mobile Phone IPad Repair Home Tools Kit,"Rs. 4,500",https://www.daraz.pk/products/k01-1-13-led-usb-i896602125.html
Mobile Repairing tools Kada 2018d+ heatgun 2 in 1,"Rs. 14,999",https://www.daraz.pk/products/kada-2018d-1-2-i489678741.html
RELIFE RL-049B CPU Glue Removal Crowbar Set | Mobile Phone Repair Opening Tools For IC Chip & Screen Separation,Rs. 499,https://www.daraz.pk/products/relife-rl-049b-cpu-glue-removal-crowbar-set-mobile-phone-repair-opening-tools-for-ic-chip-screen-separation-i947980735.html
E8000 Strong Liquid Glue for Clothes Leather Jewelry Stationery Phone Screen Earphone Repair DIY Clothes Mobile Phone LCD Touch Screen Shoes Craft Shoe Adhesive Jewelry E8000 Glue,Rs. 208,https://www.daraz.pk/products/e8000-diy-lcd-e8000-i464011723.html
High Adhesion Double Sided Tape Computer Mobile Phone Screen Sealing Mobile Phone Repair 1 Inch- Arsi Wholesale Hub,Rs. 220,https://www.daraz.pk/products/1-i946953078.html
"6pcs Precision Toolkit Model 3001 for Mobile & Electronics Repair | High Quality Screwdriver Set with Comfortable Grip Handles for Phone, Tablet & Gadget Fixing",Rs. 216,https://www.daraz.pk/products/6pcs-3001-i948695836.html
Mobile Network Enhancer Chip – Universal Sticker for Better Call Quality & Stable Connectivity,Rs. 929,https://www.daraz.pk/products/mobile-network-enhancer-chip-universal-sticker-for-better-call-quality-stable-connectivity-i927112856.html
Mechanic Electric OCA Glue Remover Tool – LCD Screen Adhesive Cleaning Machine for Mobile Phone Repair,"Rs. 3,299",https://www.daraz.pk/products/mechanic-electric-oca-glue-remover-tool-lcd-screen-adhesive-cleaning-machine-for-mobile-phone-repair-i948103558.html
Mobile Phone Repair Tool UV Glue Curing Lamp USB 5v LED Ultraviolet Oil by Electrica,"Rs. 1,841",https://www.daraz.pk/products/mobile-phone-repair-tool-uv-glue-curing-lamp-usb-5v-led-ultraviolet-oil-by-electrica-i176554770.html
31-in-1 Precision Screwdriver Set | Magnetic Mobile Repair Tool Kit for Electronics,Rs. 409,https://www.daraz.pk/products/1-31-i360426544.html
Best Quality 7 in1 Mobile  Screen Battery Replace Repair Tool Kit Electronics Screwdriver Set for Cell Phone Computer Tablets Repair,Rs. 379,https://www.daraz.pk/products/best-quality-7-in1-mobile-screen-battery-replace-repair-tool-kit-electronics-screwdriver-set-for-cell-phone-computer-tablets-repair-i394427611.html
6 Pcs WLXY Precision Art Hobby Knife Set For Crafts Scrapbook & Mobile Repair,Rs. 299,https://www.daraz.pk/products/6-pcs-wlxy-precision-art-hobby-knife-set-for-crafts-scrapbook-mobile-repair-i885302302.html
Variety House (VHTJ) | 6 in 1 Repair Opening Tool Kit Screwdriver Set Repair Tools Phone Disassemble Mobile Precision Screwdriver P-3001,Rs. 229,https://www.daraz.pk/products/vhtj-1-6-p-3001-i451824043.html
14 in 1 Repair Opening Tool Kit Screwdriver Set Repair Tools Phone Disassemble Mobile,"Rs. 1,099",https://www.daraz.pk/products/1-14-i115526691.html
Blade#11 for Hijama Cupping or Mobile Repairing بلیڈ نمبر ۱۱ (100 blades Box) | Hakeem Lahori,"Rs. 1,085",https://www.daraz.pk/products/blade11-for-hijama-cupping-or-mobile-repairing-100-blades-box-hakeem-lahori-i494815691.html
1 Pcs Original Liquid Soldering Flux HWY-800 25ml For Metel copper stainless steel and Lithium cell 18650 or 26650,Rs. 299,https://www.daraz.pk/products/1-pcs-original-liquid-soldering-flux-hwy-800-25ml-for-metel-copper-stainless-steel-and-lithium-cell-18650-or-26650-i423224693.html
Helping Hand for Soldering Iron Stand TE-800 TE-801 TE-805 MG-16129-C UT-1090-C Soldering Stand by MREECO,Rs. 999,https://www.daraz.pk/products/te-800-te-801-i538762677.html
Light Head Magnifying With Led Sharp Light Headband Illuminated Visor Jewelers Loupe Magnifier Headband Glasses With 2 Lens Repair Mobile Laptop Circuits Micro Electric Appliances,"Rs. 1,999",https://www.daraz.pk/products/light-head-magnifying-with-led-sharp-light-headband-illuminated-visor-jewelers-loupe-magnifier-headband-glasses-with-2-lens-repair-mobile-laptop-circuits-micro-electric-appliances-i927336343.html
31 In 1 Precision Handle Screwdriver Set Mobile Phone Repair Kit,Rs. 499,https://www.daraz.pk/products/1-31-i422420461.html
"10X Handheld Magnifier Glass + 60/70/80/90/100MM Magnifying Glass with Red Wood Handle + For Jewelers, School, Office, Doctors, PCB Circuit Repairing, Mobile Repairing",Rs. 599,https://www.daraz.pk/products/10x-handheld-magnifier-glass-60708090100mm-magnifying-glass-with-red-wood-handle-for-jewelers-school-office-doctors-pcb-circuit-repairing-mobile-repairing-i947452140.html
Screwdriver Set 25 in 1 With Case Multifunctional Mobile Repairing Tools For Mobiles Phones Cell Phone Tablets Computers Repair Mini Hand Tool Kit,Rs. 699,https://www.daraz.pk/products/screwdriver-set-25-in-1-with-case-multifunctional-mobile-repairing-tools-for-mobiles-phones-cell-phone-tablets-computers-repair-mini-hand-tool-kit-i272679094.html
"B7000 Mobile Phone Repair Glue (50ml/110ml) – High-Strength Waterproof Adhesive for Screen, Glass, Jewelry & Rhinestones | Precision Needle DIY Bonding Tool | Tawakkal Crafts",Rs. 186,https://www.daraz.pk/products/b7000-50-110-diy-i1950411648.html
Adjustable USB UV Light Curing LED Lamp For Mobile Phone Circuit Board Repair,"Rs. 2,066",https://www.daraz.pk/products/-i438885870.html
14 in 1 Repair Opening Tool Kit Screwdriver Set Repair Tools Phone Disassemble Mobile,"Rs. 1,068",https://www.daraz.pk/products/1-14-i207952545.html
PCB Electromagnetic Inductance Detector Fault Detection Tool for Mobile Phone Motherboard Repair Engineers Use MECHANIC DT-001,Rs. 899,https://www.daraz.pk/products/mechanic-dt-001-i1949330528.html
"BGA Paste Mechanic XG50, (Sn 63%, Pb 37%, 183 °C, 35 g)",Rs. 620,https://www.daraz.pk/products/bga-paste-mechanic-xg50-sn-63-pb-37-183-c-35-g-i269967212.html
